query,original_question,category,subclass,question_1,question_2,winner
"[LA|SEM] William told Joshua that he enraged the saleswoman.
Who enraged the saleswoman?","William told Joshua that he enraged the saleswoman.
Who enraged the saleswoman?",LA,SEM,DO: WHO?,VOID,Question 1
"[LA|SEM] Matthew told Joshua that he mesmerized the client.
Who mesmerized the client?","Matthew told Joshua that he mesmerized the client.
Who mesmerized the client?",LA,SEM,[ Which did the client get mesmerized by?,OUTPUT: Should the question refer to either Matthew or Joshua?,Question 1
"[LA|SEM] William told Joshua that he disgusted the saleswoman.
Who disgusted the saleswoman?","William told Joshua that he disgusted the saleswoman.
Who disgusted the saleswoman?",LA,SEM,ER:,WHAT?,Question 1
"[LA|SEM] The son told Robert that he exhausted Brian.
Who exhausted Brian?","The son told Robert that he exhausted Brian.
Who exhausted Brian?",LA,SEM,"(WHEN) Does ""he"" refer to the son or Brian?",WHAT?,Question 1
"[LA|SEM] The sister-in-law told Amanda that she moved the client.
Who moved the client?","The sister-in-law told Amanda that she moved the client.
Who moved the client?",LA,SEM,When is the client's move scheduled?,"Thus, the main clarifying question is: Does ""she"" refer to the sister-in-law or Amanda?",Question 2
"[LA|SEM] The sister-in-law bought Amanda a drink after she arrived at the party.
Who arrived at the party?","The sister-in-law bought Amanda a drink after she arrived at the party.
Who arrived at the party?",LA,SEM,Where did he arrive at the party?,WHOM?,Question 2
"[LA|SEM] The sister-in-law wrote a letter to Amanda because she has an important interview tomorrow.
Who has an important interview tomorrow?","The sister-in-law wrote a letter to Amanda because she has an important interview tomorrow.
Who has an important interview tomorrow?",LA,SEM,--- Has the sister-in-law written a letter to Amanda because she has an important interview tomorrow? Is the sister-in-law the one who wrote to Amanda (emphasis later)?,,Question 2
"[LA|SEM] Matthew told Joshua that he relieved the client.
Who relieved the client?","Matthew told Joshua that he relieved the client.
Who relieved the client?",LA,SEM,WHO ALLOWED?,Is it Matthew or Joshua?,Question 2
"[LA|SEM] Kimberly told the aunt that she appalled the granddaughter.
Who appalled the granddaughter?","Kimberly told the aunt that she appalled the granddaughter.
Who appalled the granddaughter?",LA,SEM,OVER?,## Output: WHO is the one who appalled the granddaughter?,Question 2
"[LA|SEM] Kimberly told the aunt that she enchanted the granddaughter.
Who enchanted the granddaughter?","Kimberly told the aunt that she enchanted the granddaughter.
Who enchanted the granddaughter?",LA,SEM,NONE,"VERIFY: Which word refers to the person you spoke with, whether grandmother or grandmother.",Question 2
"[LA|SEM] The sister-in-law baked Amanda some egg tarts after she got off work.
Who got off work?","The sister-in-law baked Amanda some egg tarts after she got off work.
Who got off work?",LA,SEM,Is it just one sister-in-law or both?,NONE,Question 2
"[LA|SEM] The son told Robert that he frightened Brian.
Who frightened Brian?","The son told Robert that he frightened Brian.
Who frightened Brian?",LA,SEM,DO: Which type of did the man get pregnant from?,,Question 2
"[LA|SEM] Matthew sent a message to Joshua because he is flying abroad soon.
Who is flying abroad soon?","Matthew sent a message to Joshua because he is flying abroad soon.
Who is flying abroad soon?",LA,SEM,,(--LEX-1),Question 1
"[LA|SEM] The sister-in-law told Amanda that the client favored her.
Who did the client favor?","The sister-in-law told Amanda that the client favored her.
Who did the client favor?",LA,SEM,"The client favored which person: a sister-in-law, or someone else?",". Does ""she"" refer to Amanda or the sister-in-law?",Question 1
"[LA|SEM] The sister-in-law wrote Amanda a few letters after she went to the army.
Who went to the army?","The sister-in-law wrote Amanda a few letters after she went to the army.
Who went to the army?",LA,SEM,wmt,WHOM was confused.,Question 2
"[LA|SEM] The sister-in-law told Amanda that she rankled the client.
Who rankled the client?","The sister-in-law told Amanda that she rankled the client.
Who rankled the client?",LA,SEM,PLEASE PROVIDE THE CLARIFICATION CONVERSION OF THE QUESTION.,WHAT?,Question 2
"[LA|SEM] The son told Robert that he enlightened Brian.
Who enlightened Brian?","The son told Robert that he enlightened Brian.
Who enlightened Brian?",LA,SEM,Who is Brian?,"The user said ""The son told Robert that he enlightened Brian. Who enlightened Brian?"". We have to decide whether the subject or object is a male person. In this context, there are three possibilities: ""the son"" being a male person, ""Robert"" being a male person, and the son enlightened Brian. Based on the information provided, who enlightened Brian?",Question 1
"[LA|SEM] The sister-in-law handed Amanda some cards after she got to the graduation party.
Who got to the graduation party?","The sister-in-law handed Amanda some cards after she got to the graduation party.
Who got to the graduation party?",LA,SEM,/read mask I|WHOWHERE Who does the sister-in-law refer to?,"/lexical_question Is the first ""she"" referring to the sister-in-law or Amanda in the original sentence?",Question 2
"[LA|SEM] The sister-in-law gave Amanda a slice of chocolate cake after she went for a tour.
Who went for a tour?","The sister-in-law gave Amanda a slice of chocolate cake after she went for a tour.
Who went for a tour?",LA,SEM,WHO?,YES WHOM?,Question 1
"[LA|SEM] The sister-in-law left a note for Amanda because she is leaving the town soon.
Who is leaving the town soon?","The sister-in-law left a note for Amanda because she is leaving the town soon.
Who is leaving the town soon?",LA,SEM,,(--EX: (The person in the town)),Question 2
"[LA|SEM] Matthew told Joshua that he tortured the client.
Who tortured the client?","Matthew told Joshua that he tortured the client.
Who tortured the client?",LA,SEM,TODO What do you mean?,WHO OF: MA or JE?,Question 2
"[LA|SEM] Matthew emailed Joshua because he was upset.
Who was upset?","Matthew emailed Joshua because he was upset.
Who was upset?",LA,SEM,},"## Task: How do you react when you receive an ambiguous or unknown word? If the input contains unknown words or words without context, ask one clarifying question. Use specific categories to infer one clarifying question? At this time, one will produce a clarifying questioncategories: [LA|SEM]",Question 2
"[LA|SEM] Matthew left a voicemail for Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?","Matthew left a voicemail for Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?",LA,SEM,(),WHOM: Are you asking which gender? Are you asking which person?,Question 2
"[LA|SEM] William told Joshua that he comforted the saleswoman.
Who comforted the saleswoman?","William told Joshua that he comforted the saleswoman.
Who comforted the saleswoman?",LA,SEM,|no-h4|wh2|when-mil-a|wh=when|who=who?],STOP,Question 1
"[LA|SEM] Melissa told Jennifer that she amused the father-in-law.
Who amused the father-in-law?","Melissa told Jennifer that she amused the father-in-law.
Who amused the father-in-law?",LA,SEM,,WHOT is the clarifying question? Which person amused the father-in-law?,Question 2
"[LA|SEM] Kimberly told the aunt that she discouraged the granddaughter.
Who discouraged the granddaughter?","Kimberly told the aunt that she discouraged the granddaughter.
Who discouraged the granddaughter?",LA,SEM,Is it Kimberly's or the aunt's?,|seperate_name| What is the name of the person?,Question 1
"[LA|SEM] The son told Robert that he captivated Brian.
Who captivated Brian?","The son told Robert that he captivated Brian.
Who captivated Brian?",LA,SEM,"Thus, what is the main confusion?",Which version of a person's name did she use?,Question 1
"[LA|SEM] Matthew sent a message to Joshua because he is leaving the town soon.
Who is leaving the town soon?","Matthew sent a message to Joshua because he is leaving the town soon.
Who is leaving the town soon?",LA,SEM,"Are you asking about a person, place, or object leaving the town soon?",The one sending the message or the recipient?,Question 1
"[LA|SEM] The sister-in-law told Amanda the bad news before she left the exam room.
Who left the exam room?","The sister-in-law told Amanda the bad news before she left the exam room.
Who left the exam room?",LA,SEM,"Upon the semantic ambiguity in the context, who left the exam room?",|begin| Which one has he left the exam room?,Question 1
"[LA|SEM] Matthew gave Joshua some coffee beans before he started moving out.
Who started moving out?","Matthew gave Joshua some coffee beans before he started moving out.
Who started moving out?",LA,SEM,"So the right question would be something like: Which person started moving out, Matthew or Joshua?","So the correct output should be: ""Does 'he' refer to Matthew or Joshua?"" Alternatively, perhaps: ""Whose moving did he start?"" or ""Is 'he' referring to Matthew or Joshua?"" But perhaps the standard format for such cases is to ask ""Is 'he' referring to Matthew or Joshua?"" So the final clarifying question should be that.",Question 2
"[LA|SEM] The sister-in-law baked Amanda some banana bread before she went to the family dinner.
Who went to the family dinner?","The sister-in-law baked Amanda some banana bread before she went to the family dinner.
Who went to the family dinner?",LA,SEM,"OF I think there are two possibilities: either Amanda went to the family dinner or someone else did because two did go to the family dinner. Therefore, I can't fully answer the question. Can you specify who went to the family dinner?",WHAT is [WHOM] The sister-in-law baked Amanda some banana bread before she went to the family dinner.,Question 1
"[LA|SEM] Matthew told Joshua that he troubled the client.
Who troubled the client?","Matthew told Joshua that he troubled the client.
Who troubled the client?",LA,SEM,WHAT: Which one troubled the client?,�：神明,Question 1
"[LA|SEM] The sister-in-law left a note for Amanda because she is flying abroad soon.
Who is flying abroad soon?","The sister-in-law left a note for Amanda because she is flying abroad soon.
Who is flying abroad soon?",LA,SEM,(--): What does she mean when talking about her brother's birthday?,"- Is it Amanda or the sister-in-law who is flying abroad soon, or the other person named in the statement (i.e., Amanda's niece)?",Question 2
"[LA|SEM] The sister-in-law told Amanda that the client detested her.
Who did the client detest?","The sister-in-law told Amanda that the client detested her.
Who did the client detest?",LA,SEM,Which aunt insulted the client?,"Thus, the clarifying question should be: Does ""her"" refer to the client or the sister-in-law/Amanda?",Question 2
"[LA|SEM] Matthew emailed Joshua because he is leaving the town soon.
Who is leaving the town soon?","Matthew emailed Joshua because he is leaving the town soon.
Who is leaving the town soon?",LA,SEM,OT: Is this a matter of what? Is it a matter of who or who? Please clarify who is leaving the town?,OUTPUT: Is the short-term future (leaving the town) of whom?,Question 2
"[LA|SEM] The sister-in-law left a note for Amanda because she is leaving town next week.
Who is leaving town next week?","The sister-in-law left a note for Amanda because she is leaving town next week.
Who is leaving town next week?",LA,SEM,,(--CLEAR) Is the note being referred to the one left by the sister-in-law or the one left by Amanda?,Question 2
"[LA|SEM] The sister-in-law wrote a letter to Amanda because she is leaving town next week.
Who is leaving town next week?","The sister-in-law wrote a letter to Amanda because she is leaving town next week.
Who is leaving town next week?",LA,SEM,,## Cont What is the surname of the person who took the bike?,Question 1
"[LA|SEM] The sister-in-law told Amanda that she irritated the client.
Who irritated the client?","The sister-in-law told Amanda that she irritated the client.
Who irritated the client?",LA,SEM,oto,"Does the sister-in-law who was speaking to you, or the other one, have you confused?",Question 2
"[LA|SEM] Kimberly told the aunt that she entertained the granddaughter.
Who entertained the granddaughter?","Kimberly told the aunt that she entertained the granddaughter.
Who entertained the granddaughter?",LA,SEM,NAME,END,Question 1
"[LA|SEM] Matthew sold Joshua an apartment before he had ever heard about this story.
Who had ever heard about this story?","Matthew sold Joshua an apartment before he had ever heard about this story.
Who had ever heard about this story?",LA,SEM,So the appropriate clarifying question is: From whom did the person who heard about this story before the sale refer to?,WHERE,Question 1
"[LA|SEM] Melissa told Jennifer that the father-in-law preferred her.
Who did the father-in-law prefer?","Melissa told Jennifer that the father-in-law preferred her.
Who did the father-in-law prefer?",LA,SEM,"['WHAM] Does she refer to her mother, mother-in-law, father, or mother?]",USE WHO?,Question 2
"[LA|SEM] Matthew told Joshua that he pleased the client.
Who pleased the client?","Matthew told Joshua that he pleased the client.
Who pleased the client?",LA,SEM,"Was it Matthew's, Joshua's, or someone else's?"" But to align with the categories, the correct question would be either WH: who, or who for whom.",END,Question 1
"[LA|SEM] The sister-in-law told Amanda that she relaxed the client.
Who relaxed the client?","The sister-in-law told Amanda that she relaxed the client.
Who relaxed the client?",LA,SEM,HOW?,NONE,Question 1
"[LA|SEM] Kimberly told the aunt that the granddaughter loathed her.
Who did the granddaughter loathe?","Kimberly told the aunt that the granddaughter loathed her.
Who did the granddaughter loathe?",LA,SEM,"Was the person referred to as ""aunt"" in the statement a member of the family or a friend or extended relative?",-Whom,Question 2
"[LA|SEM] Matthew emailed Joshua because he is flying abroad soon.
Who is flying abroad soon?","Matthew emailed Joshua because he is flying abroad soon.
Who is flying abroad soon?",LA,SEM,"The correct output is the following question: ""Is it Matthew or Joshua who is flying abroad soon?"" **Question:** Is it Matthew or Joshua who is flying abroad soon?",The question can be interpreted in two ways. Please specify who is flying abroad soon between Matthew and Joshua.,Question 1
"[LA|SEM] Matthew emailed Joshua because he is attending a conference next week.
Who is attending a conference next week?","Matthew emailed Joshua because he is attending a conference next week.
Who is attending a conference next week?",LA,SEM,"So the clarifying question would be something like ""Is it Matthew or Joshua who is attending the conference?"" Therefore, the proper clarifying question would be: Is it Matthew or Joshua who is attending the conference?",WHAT is the name of the event?,Question 1
"[LA|SEM] Matthew emailed Joshua because he has an important interview tomorrow.
Who has an important interview tomorrow?","Matthew emailed Joshua because he has an important interview tomorrow.
Who has an important interview tomorrow?",LA,SEM,None,VOID,Question 2
"[LA|SEM] The sister-in-law contacted Amanda because she is flying abroad soon.
Who is flying abroad soon?","The sister-in-law contacted Amanda because she is flying abroad soon.
Who is flying abroad soon?",LA,SEM,,: Which sister contacted Amanda because she is flying abroad soon?,Question 2
"[LA|SEM] Matthew told Joshua that the client distrusted him.
Who did the client distrust?","Matthew told Joshua that the client distrusted him.
Who did the client distrust?",LA,SEM,,,Question 2
"[LA|SEM] Matthew built Joshua a house after he returned from the army.
Who returned from the army?","Matthew built Joshua a house after he returned from the army.
Who returned from the army?",LA,SEM,WHAT?,The person who returned from the army?,Question 2
"[LA|SEM] Matthew gave Joshua some mineral water after he got up in the morning.
Who got up in the morning?","Matthew gave Joshua some mineral water after he got up in the morning.
Who got up in the morning?",LA,SEM,,NONE,Question 2
"[LA|SEM] Matthew sent a message to Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?","Matthew sent a message to Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?",LA,SEM,|end=A: WHAT IS: WHO? Is it what? Or who?,What does traveling abroad mean?,Question 1
"[LA|SEM] The sister-in-law told Amanda that she overwhelmed the client.
Who overwhelmed the client?","The sister-in-law told Amanda that she overwhelmed the client.
Who overwhelmed the client?",LA,SEM,When?,OUTPUT: Is this either Amanda or Amanda's sister-in-law?,Question 2
"[LA|SEM] William told Joshua that the saleswoman wanted him.
Who did the saleswoman want?","William told Joshua that the saleswoman wanted him.
Who did the saleswoman want?",LA,SEM,,]] Who did the saleswoman want?,Question 2
"[LA|SEM] The sister-in-law sang Amanda some folk songs before she did housework.
Who did housework?","The sister-in-law sang Amanda some folk songs before she did housework.
Who did housework?",LA,SEM,PLEASE PROVIDE THE FOLLOWING: WHO? OR WHO DOES? OR OR DOES? ASK ANY GIVEN CLARIFICATION?,PLEASE REPLY,Question 1
"[LA|SEM] Matthew showed Joshua a photo after he told him the story.
Who told him the story?","Matthew showed Joshua a photo after he told him the story.
Who told him the story?",LA,SEM,Does the question refer to telling the story verbally or receiving a photo? Is it one person or is the photo from another source?,,Question 1
"[LA|SEM] The sister-in-law wrote a letter to Amanda because she is flying abroad soon.
Who is flying abroad soon?","The sister-in-law wrote a letter to Amanda because she is flying abroad soon.
Who is flying abroad soon?",LA,SEM,"For SE categories, maybe the questions are like ""Whom?"" as per the categories.","The question mentioned AMAND, is a girl or a boy?",Question 1
"[LA|SEM] Melissa told Jennifer that she beguiled the father-in-law.
Who beguiled the father-in-law?","Melissa told Jennifer that she beguiled the father-in-law.
Who beguiled the father-in-law?",LA,SEM,WHOM?,WHAT=?,Question 1
"[LA|SEM] Matthew baked Joshua a cake before he had lunch.
Who had lunch?","Matthew baked Joshua a cake before he had lunch.
Who had lunch?",LA,SEM,WHOM had lunch?,END,Question 1
"[LA|SEM] The son told Robert that he annoyed Brian.
Who annoyed Brian?","The son told Robert that he annoyed Brian.
Who annoyed Brian?",LA,SEM,,"Which brother does ""he"" in ""he annoyed Brian"" refer to; the son or Robert?",Question 2
"[LA|SEM] Matthew made Joshua a square pizza before he went out.
Who went out?","Matthew made Joshua a square pizza before he went out.
Who went out?",LA,SEM,WHO LEFT?,"|beginningofrequest| Given a scenario where the user has provided an ambiguous statement and asked the assistant to generate a clarifying question, the user expects the assistant to generate a single clarifying question without explanation. The user's clarifying question includes entities with names, such as Luke and a name with a different name or surname ""Hoffa Smith"". The user provides the scenario with the mention of a name with an unfamiliar entity. When the user generates the scenario, the scenario also includes the name of a person with an unfamiliar name or entity. When such is the case, generate a clarifying question with the following scenario or create a new clarifying question. The user likely expects the assistant to generate a clarifying question based on the subclass. For ""UNCURATED"" entity, generate a clarifying question about unfamiliar entity. What should the assistant do? The assistant should generate a clarifying question using an unfamiliar entity. Generate a clarifying question using an unfamiliar entity.",Question 1
"[LA|SEM] Matthew sent Joshua a gift before he graduated from the university.
Who graduated from the university?","Matthew sent Joshua a gift before he graduated from the university.
Who graduated from the university?",LA,SEM,WHAT: In which university did the person graduate?,WHAT was the gift Matthew sent Joshua a gift before he graduated from the university?,Question 1
"[LA|SEM] The sister-in-law contacted Amanda because she is moving abroad soon.
Who is moving abroad soon?","The sister-in-law contacted Amanda because she is moving abroad soon.
Who is moving abroad soon?",LA,SEM,|tutorial.entity| _,Is it the sister-in-law or Amanda?,Question 2
"[LA|SEM] The sister-in-law built Amanda a garden after she earned a billion dollars.
Who earned a billion dollars?","The sister-in-law built Amanda a garden after she earned a billion dollars.
Who earned a billion dollars?",LA,SEM,,thermy] What did you mean by built the garden?,Question 2
"[LA|SEM] The sister-in-law contacted Amanda because she has an important interview tomorrow.
Who has an important interview tomorrow?","The sister-in-law contacted Amanda because she has an important interview tomorrow.
Who has an important interview tomorrow?",LA,SEM,,Who has an important interview tomorrow?,Question 2
"[LA|SEM] The sister-in-law called Amanda because she is leaving the town soon.
Who is leaving the town soon?","The sister-in-law called Amanda because she is leaving the town soon.
Who is leaving the town soon?",LA,SEM,"So the question should be: ""Is 'she' the sister-in-law or Amanda who is leaving the town soon?"" or ""Is Amanda or the sister-in-law leaving the town?"" But the exact format for",,Question 1
"[LA|SEM] Matthew asked Joshua a second question before he went abroad.
Who went abroad?","Matthew asked Joshua a second question before he went abroad.
Who went abroad?",LA,SEM,"So, either ""Who is he going abroad with?"" that the assistant has not.",Clarifying question: Is the second question asking about [WHOM] (Matthew or Joshua) who went abroad?,Question 2
"[LA|SEM] Melissa told Jennifer that she excited the father-in-law.
Who excited the father-in-law?","Melissa told Jennifer that she excited the father-in-law.
Who excited the father-in-law?",LA,SEM,WHAT?,"ENDRE-RULE: Can you specify what ""excited"" means in this context? For example, did both Melissa and the father-in-law get excited or did only one of them get excited while the other didn't? Thanks!",Question 2
"[LA|SEM] Matthew told Joshua that the client despised him.
Who did the client despise?","Matthew told Joshua that the client despised him.
Who did the client despise?",LA,SEM,/?,END,Question 1
"[LA|SEM] The sister-in-law gave Amanda a sticker after she ate the dessert.
Who ate the dessert?","The sister-in-law gave Amanda a sticker after she ate the dessert.
Who ate the dessert?",LA,SEM,"NONE Based on the situation, the input does not contain any additional context.",WHEN?,Question 2
"[LA|SEM] The sister-in-law contacted Amanda because she is attending a conference next week.
Who is attending a conference next week?","The sister-in-law contacted Amanda because she is attending a conference next week.
Who is attending a conference next week?",LA,SEM,-AM,Where is Amanda's sister-in-law coming from?,Question 1
"[LA|SEM] Matthew played Joshua a video after he asked for an extension.
Who asked for an extension?","Matthew played Joshua a video after he asked for an extension.
Who asked for an extension?",LA,SEM,(--'WHOW'),WHAT: When did they perform?,Question 1
"[LA|SEM] Matthew sent a message to Joshua because he is leaving town next week.
Who is leaving town next week?","Matthew sent a message to Joshua because he is leaving town next week.
Who is leaving town next week?",LA,SEM,Or what time does which news have?,(--EX: LA|SEM),Question 2
"[LA|SEM] The son told Robert that he bewildered Brian.
Who bewildered Brian?","The son told Robert that he bewildered Brian.
Who bewildered Brian?",LA,SEM,"Wait, perhaps the referent of ""she mentioned his uncle"" — who is ""she""?",WHON?,Question 2
"[LA|SEM] Matthew baked Joshua some more cookies after he finished dinner.
Who finished dinner?","Matthew baked Joshua some more cookies after he finished dinner.
Who finished dinner?",LA,SEM,"For WHOM, the query would need to ask either WHOM, which is ""Is 'he' referring to the same entity as mentioned previously?"" So the clarifying question would be to ask ""Is the",�Which of the following did you buy cookies for?,Question 1
"[LA|SEM] The sister-in-law asked Amanda about the details after she came back from work.
Who came back from work?","The sister-in-law asked Amanda about the details after she came back from work.
Who came back from work?",LA,SEM,END_OF_TEMPLATE,"p style=""""",Question 1
"[LA|SEM] The sister-in-law taught Amanda skiing after she took another leave.
Who took another leave?","The sister-in-law taught Amanda skiing after she took another leave.
Who took another leave?",LA,SEM,WHAT WHAT?,WHEN IS THE CLARIFYING QUESTION?,Question 1
"[LA|SEM] Matthew pinged Joshua because he is attending a conference next week.
Who is attending a conference next week?","Matthew pinged Joshua because he is attending a conference next week.
Who is attending a conference next week?",LA,SEM,"Can you clarify whether ""conference"" refers to the ACM (Conference and Expo) in New York?",,Question 1
"[LA|SEM] Matthew told Joshua that he interested the client.
Who interested the client?","Matthew told Joshua that he interested the client.
Who interested the client?",LA,SEM,,"(--""who""?):):",Question 2
"[LA|SEM] Melissa told Jennifer that she dazzled the father-in-law.
Who dazzled the father-in-law?","Melissa told Jennifer that she dazzled the father-in-law.
Who dazzled the father-in-law?",LA,SEM,WHAT is the first word that is a noun and can mean something?,"PROBLEM:""LEXICAL"": Query contains multiple terms with multiple meanings. When did she do that?",Question 2
"[LA|SEM] The sister-in-law told Amanda that she heartened the client.
Who heartened the client?","The sister-in-law told Amanda that she heartened the client.
Who heartened the client?",LA,SEM,NONE,INPUT: The sister-in-law told Amanda that she heartened the client.,Question 2
"[LA|SEM] The sister-in-law told Amanda that the client admired her.
Who did the client admire?","The sister-in-law told Amanda that the client admired her.
Who did the client admire?",LA,SEM,ENDRE: What does she refer to by her?,STOP,Question 1
"[LA|SEM] William told Joshua that he distracted the saleswoman.
Who distracted the saleswoman?","William told Joshua that he distracted the saleswoman.
Who distracted the saleswoman?",LA,SEM,The snippet states: Has the speaker heard the following ambiguous story from the speaker?,"or: ""Is it whos?"" But the output should be one clarifying question, either ""WHO, OR, OR?"" or similar.",Question 2
"[LA|SEM] Melissa told Jennifer that she flattered the father-in-law.
Who flattered the father-in-law?","Melissa told Jennifer that she flattered the father-in-law.
Who flattered the father-in-law?",LA,SEM,WHO HAS NOT FLattered?,WHOM: (WHOWN | WHOM),Question 2
"[LA|SEM] William told Joshua that the saleswoman needed him.
Who did the saleswoman need?","William told Joshua that the saleswoman needed him.
Who did the saleswoman need?",LA,SEM,"Does the ambiguous term refer to a specific person in a specific situation, or multiple people in different situations?",WHOM did the saleswoman need?,Question 2
"[LA|SEM] Matthew told Joshua that he shocked the client.
Who shocked the client?","Matthew told Joshua that he shocked the client.
Who shocked the client?",LA,SEM,WHAT is she frustrated?,,Question 2
"[LA|SEM] Matthew told Joshua that the client feared him.
Who did the client fear?","Matthew told Joshua that the client feared him.
Who did the client fear?",LA,SEM,WHO GOT?,WHO?,Question 2
"[LA|SEM] The sister-in-law built Amanda a snowman after she said she wanted to watch a movie.
Who said she wanted to watch a movie?","The sister-in-law built Amanda a snowman after she said she wanted to watch a movie.
Who said she wanted to watch a movie?",LA,SEM,none,WHAM or WHOM? The user indicates confusion due to missing information.,Question 2
"[LA|SEM] The sister-in-law brought Amanda some flowers after she came back from school.
Who came back from school?","The sister-in-law brought Amanda some flowers after she came back from school.
Who came back from school?",LA,SEM,Which sister brought the flowers?,WHAT are the symptoms?,Question 1
"[LA|SEM] The sister-in-law taught Amanda how to sing before she decided to start a new career later in her life.
Who decided to start a new career later in her life?","The sister-in-law taught Amanda how to sing before she decided to start a new career later in her life.
Who decided to start a new career later in her life?",LA,SEM,|no It is the sister-in-law or the sister-in-law? Who taught Amanda how to sing?,"The sister-in-law or Amanda?"" or ""Was it the sister-in-law or Amanda who decided to start a new career later in her life?"" But according to the format, the output should be just the clarifying question.",Question 2
"[LA|SEM] Matthew pinged Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?","Matthew pinged Joshua because he is traveling abroad tomorrow.
Who is traveling abroad tomorrow?",LA,SEM,"hoferjames.aghami@gmail # 'er, I just had a baby, # Where's Joshua?",WHO?,Question 2
"[LA|SEM] Melissa told Jennifer that she confused the father-in-law.
Who confused the father-in-law?","Melissa told Jennifer that she confused the father-in-law.
Who confused the father-in-law?",LA,SEM,CLEARING_BRIEF: WHO_,WHOM: WHOW?,Question 1
"[LA|SEM] Matthew taught Joshua how to shop for the cheapest books before he washed the dishes.
Who washed the dishes?","Matthew taught Joshua how to shop for the cheapest books before he washed the dishes.
Who washed the dishes?",LA,SEM,NONE,NONE,Question 2
"[LA|SEM] The sister-in-law told Amanda that she unnerved the client.
Who unnerved the client?","The sister-in-law told Amanda that she unnerved the client.
Who unnerved the client?",LA,SEM,WHAT IS THE PROBLEM?,WHAT=? WHO?,Question 2
"[LA|SEM] Matthew told Joshua that the client deified him.
Who did the client deify?","Matthew told Joshua that the client deified him.
Who did the client deify?",LA,SEM,PT,OVER or under?,Question 1
"[LA|SEM] Melissa told Jennifer that she aggrieved the father-in-law.
Who aggrieved the father-in-law?","Melissa told Jennifer that she aggrieved the father-in-law.
Who aggrieved the father-in-law?",LA,SEM,WHAT IS THE LOCATION?,WHOWHERE?,Question 2
"[LA|SEM] The sister-in-law lent Amanda a pencil after she got to the classroom.
Who got to the classroom?","The sister-in-law lent Amanda a pencil after she got to the classroom.
Who got to the classroom?",LA,SEM,"Is ""she"" the sister-in-law or Amanda?",WHAT?,Question 1
"[LA|SEM] The sister-in-law rented Amanda a nice camera before she mentioned her favorite flower several times.
Who mentioned her favorite flower several times?","The sister-in-law rented Amanda a nice camera before she mentioned her favorite flower several times.
Who mentioned her favorite flower several times?",LA,SEM,"[""Which sister-in-law mentioned her favorite flower several times?""]","[""Who""]?",Question 1
"[LA|SEM] The sister-in-law wrote Amanda a short message after she finished the last lesson.
Who finished the last lesson?","The sister-in-law wrote Amanda a short message after she finished the last lesson.
Who finished the last lesson?",LA,SEM,OVER???,,Question 2
"[LA|SEM] The sister-in-law told Amanda that she soothed the client.
Who soothed the client?","The sister-in-law told Amanda that she soothed the client.
Who soothed the client?",LA,SEM,END_OF_TEMPLATE,ER: Whose was it?,Question 1
"[LA|SEM] The sister-in-law handed Amanda a piece of white paper before she asked a question.
Who asked a question?","The sister-in-law handed Amanda a piece of white paper before she asked a question.
Who asked a question?",LA,SEM,WHO IS?,DO: Can you specify which woman clarified her question?,Question 1
"[LA|SEM] Melissa told Jennifer that she enthralled the father-in-law.
Who enthralled the father-in-law?","Melissa told Jennifer that she enthralled the father-in-law.
Who enthralled the father-in-law?",LA,SEM,WHEN WAS WHEN DID?,WHAT=? OR WHAT?,Question 2
"[LA|SEM] Matthew gave Joshua some comic books after he mentioned that he ate ten apples.
Who mentioned that he ate ten apples?","Matthew gave Joshua some comic books after he mentioned that he ate ten apples.
Who mentioned that he ate ten apples?",LA,SEM,"Therefore, the clarifying question should be: Did Matthew mention that he ate ten apples, or did Joshua mention it to him?","Who is he?"" is Matthew.",Question 1
"[LA|SEM] Matthew built Joshua a castle after he hired a boat to explore local creeks.
Who hired a boat to explore local creeks?","Matthew built Joshua a castle after he hired a boat to explore local creeks.
Who hired a boat to explore local creeks?",LA,SEM,['WHO] Is it Matthew or is it the original person he hired an assistant magician to construct a castle?'],"So if Matthew built Joshua's castle, but the hiring was done by someone else?",Question 2
"[LA|SEM] The sister-in-law contacted Amanda because she is leaving town next week.
Who is leaving town next week?","The sister-in-law contacted Amanda because she is leaving town next week.
Who is leaving town next week?",LA,SEM,Which other?,Question: Does the sentence refer to the sister-in-law or Amanda leaving town next week?,Question 2
"[LA|SEM] Matthew played Joshua a recording before he told him the story.
Who told him the story?","Matthew played Joshua a recording before he told him the story.
Who told him the story?",LA,SEM,None of the information is sufficient to clarify the question.,"What does ""HE KNOWED TO"" mean?",Question 1
"[LA|SEM] Matthew told Joshua that he hurt the client.
Who hurt the client?","Matthew told Joshua that he hurt the client.
Who hurt the client?",LA,SEM,END,INPUT passage: Which one of us injured the client? It was the other or was it Matthew?,Question 2
"[LA|SEM] Kimberly told the aunt that she exasperated the granddaughter.
Who exasperated the granddaughter?","Kimberly told the aunt that she exasperated the granddaughter.
Who exasperated the granddaughter?",LA,SEM,IN: Where did the user come up with the information?,OVER (does not occur in query) or the assistant?,Question 2
